TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Milwaukee Bucks,57,43,14,2746.0,113.0,103.5,9.6,60.5,1.84,18.5,24.8,75.8,51.6,13.8,55.2,58.4,103.10,55.8
Toronto Raptors,59,43,16,2857.0,112.4,107.3,5.2,58.5,1.77,17.7,28.1,71.9,50.4,13.7,53.4,57.3,100.62,52.9
Golden State Warriors,57,41,16,2756.0,116.0,109.2,6.9,66.7,2.12,20.4,26.8,72.8,51.0,13.6,56.3,59.7,101.63,55.1
Denver Nuggets,57,39,18,2746.0,113.4,108.4,5.0,64.9,2.05,19.4,31.5,74.5,52.8,13.6,53.3,56.3,98.41,52.8
Indiana Pacers,58,38,20,2789.0,109.3,104.1,5.2,62.5,1.88,19.0,27.4,73.1,50.6,14.0,53.2,56.2,98.69,53.7
Boston Celtics,58,37,21,2804.0,111.9,105.7,6.2,62.8,2.01,18.8,26.6,73.0,50.0,13.0,53.7,57.1,100.22,54.2
Oklahoma City Thunder,57,37,20,2751.0,110.4,105.2,5.1,54.3,1.65,16.3,29.6,73.4,50.9,13.6,52.1,55.2,104.06,51.9
Philadelphia 76ers,58,37,21,2809.0,111.8,108.4,3.5,66.1,1.76,19.0,27.3,73.7,51.4,15.0,54.0,58.2,102.66,53.5
Portland Trail Blazers,57,34,23,2756.0,112.4,109.4,3.0,54.7,1.63,16.5,29.6,73.9,52.0,13.9,52.6,56.6,100.10,51.5
Houston Rockets,57,33,24,2761.0,114.3,112.2,2.1,53.5,1.51,15.6,28.0,69.2,48.0,13.9,53.6,57.6,98.07,48.3
San Antonio Spurs,59,33,26,2852.0,112.4,111.5,1.0,58.6,1.98,18.1,24.8,74.0,49.9,12.5,53.6,57.5,99.22,50.9
LA Clippers,59,32,27,2857.0,111.0,110.2,0.7,56.8,1.59,16.8,26.3,71.8,49.8,14.2,52.7,57.4,102.18,50.2
Utah Jazz,57,32,25,2736.0,108.4,105.4,3.0,63.4,1.64,18.0,27.3,76.2,52.0,15.2,52.9,56.4,100.62,52.6
Brooklyn Nets,59,30,29,2882.0,109.4,109.8,-0.4,59.5,1.57,17.0,28.9,72.2,50.5,14.9,52.1,55.8,100.85,49.0
Sacramento Kings,57,30,27,2741.0,108.7,109.9,-1.2,59.6,1.83,17.9,26.4,70.2,48.1,13.5,52.7,55.5,104.10,49.5
Los Angeles Lakers,57,28,29,2756.0,107.4,108.4,-0.9,58.2,1.57,17.4,27.1,72.5,50.4,15.2,53.1,55.6,103.81,49.8
Charlotte Hornets,57,27,30,2761.0,110.2,110.9,-0.7,57.5,1.86,16.9,27.1,73.5,49.8,12.4,51.4,55.3,99.55,48.8
Minnesota Timberwolves,57,27,30,2751.0,110.4,110.4,0.0,59.7,1.85,17.4,30.4,71.0,50.4,13.1,50.7,54.9,100.71,50.7
Orlando Magic,59,27,32,2847.0,106.6,107.7,-1.1,62.6,1.85,18.3,25.1,74.6,49.6,13.6,51.3,54.6,98.70,49.8
Dallas Mavericks,57,26,31,2746.0,108.3,108.6,-0.3,58.6,1.48,16.5,28.7,73.4,51.1,15.3,52.0,55.7,99.90,50.0
Detroit Pistons,56,26,30,2718.0,106.5,108.1,-1.6,57.7,1.51,16.3,28.8,75.4,51.1,14.8,50.3,53.9,98.94,47.3
Miami Heat,56,26,30,2693.0,106.0,106.6,-0.6,60.8,1.55,17.2,29.8,73.3,51.4,15.5,51.2,53.9,98.91,49.7
New Orleans Pelicans,59,26,33,2832.0,112.3,111.6,0.7,61.9,1.88,18.6,28.7,72.9,51.2,13.9,53.3,57.0,102.93,51.0
Washington Wizards,58,24,34,2824.0,109.6,112.4,-2.8,63.1,1.89,18.7,23.9,69.6,46.6,13.6,53.4,56.9,102.50,48.8
Memphis Grizzlies,59,23,36,2857.0,103.9,106.9,-3.0,63.3,1.68,18.0,23.4,72.3,47.6,14.6,50.6,54.3,96.10,48.7
Atlanta Hawks,58,19,39,2789.0,105.8,112.6,-6.8,62.9,1.39,17.6,28.8,71.3,49.7,17.5,52.0,55.4,104.60,45.6
Chicago Bulls,58,14,44,2804.0,103.2,111.6,-8.4,56.4,1.49,16.5,23.5,72.2,47.9,14.7,50.5,54.1,99.30,45.2
Cleveland Cavaliers,58,12,46,2799.0,105.4,116.3,-11.0,53.6,1.52,15.6,28.2,72.6,49.3,13.9,49.6,53.3,97.11,43.2
New York Knicks,58,11,47,2804.0,104.3,112.6,-8.3,51.6,1.46,14.7,27.2,71.0,48.3,13.5,48.5,52.5,100.36,44.0
Phoenix Suns,59,11,48,2862.0,104.1,113.9,-9.8,59.7,1.50,17.3,25.1,68.9,46.7,15.6,51.2,54.8,100.81,44.3
